French,Tamazight_Kabyle,LLM_Translation
Il a vécu en Azerbaïdjan pendant 4 ans.,Iɛac deg Azerbayǧan 4 n iseggasen.,Yedder deg Azerbaïdjan kkuẓ n iseggasen.
Où est l'ambassade de Grèce ?,Anda i tella tmahelt n tmurt tagrigit?,Anida tella tambasat n Legrig?
Où est l'ambassade de Grèce ?,Anda i d-tezga tmahelt n tmurt tagrigit?,Anda tella tambasat n Legrig?
On n'aime plus personne quand on aime.,"Anwa ar ad tḥemmeleḍ, ma tuɣ tmaleḍ?",Ur nḥemmel yiwen m'ara nḥemmel.
"Le premier instrument du génie d'un peuple, c'est sa langue.","Allal amezwaru n tiḥerci n weɣref, d tutlayt-is.","Allal amezwaru n tmanit n ugdud, d tutlayt-is."
Comment aimer une fille dont on ne voit rien ?,Amek ara tḥemmleḍ taqcict ideg ur-d iban wara?,Amek ara iḥemmel yiwen taqcict ur nwala deg-s acemma?
"L'eau que ne m'aura pas donné ma mère de sa cruche, n'étanchera jamais ma soif.","Aman ur-d tugim yemma, ur tekkesen fad ay-atma.","Aman ur yi-d-tefki yemma seg ubuqal-is, ur kksen ara fad-iw."
Il se gratta les testicules.,Ittḥukku iqellalen-is.,Yekmeḍ iqelwan-is.
Il s'est gratté les testicules.,Iḥukk iqellalen-is.,Ikmez iqelwan-is.
C'est une employée très travailleuse.,D taxeddamt d wawal.,D taxeddamt tamehrazt nezzeh.
C'est un employé très travailleur.,D axeddam d wawal.,D axeddam unecṭ nezzeh.
Personne ne se douta de rien.,Yiwen ur icukket kra.,Yiwen ur ičuk deg wacemma.
Elle voulut me rencontrer.,Tebɣa ad yi-temlil.,Tebɣa ad iyi-temlil.
Elle voulut me rencontrer.,Tebɣa ad yi-tẓeṛ.,Tebɣa ad iyi-temlil.
Où sont mes vêtements ?,Anda-ten iceṭṭiḍen-iw?,Anda llan iceṭṭiḍen-iw?
Où sont mes vêtements ?,Anda i llan yiselsa-w?,Anda llan iceṭṭiḍen-iw?
Il a plein de problèmes en tête.,Iččuṛ uqeṛṛuy-is d iɣeblan,Yesɛa aṭas n wuguren deg uqerru-s.
Il a tellement fauché de foin qu'il en a les mains en sang.,Yettḥuccu armi d-yejreḥ ifassen-is,Imger annect-a n tuga armi i s-ččuren yifassen-is d idammen.
L'amour est un trésor inestimable.,Tayri d talwit ifent idrimen.,Tayri d agerruj ur nesɛi ssuma.
Je ne me souviens plus vraiment de cette fille-là.,Ur cfiɣ ara mliḥ ɣef teqcict-nni.,Ur d-cfiɣ ara mliḥ ɣef teqcict-nni.
"Qui va doucement, va sûrement.",Aggaḍ ikad ad naweḍ.,"Win ițeddun s tmehel, ițawweḍ."
"Dégage, miteux ! Pourquoi être si envieux, toi qui es si miteux ?","Kker syin a yijiṛmeḍ, iwumi aqmimmeḍ, imi k-ifut weckenṭeḍ?","Beɛɛed syagi, ay amsexwi! Acuɣer i tellid d amḥasadi akka, kečč yellan d amsexwi?"
Au revoir !,Ar tufat!,Ar tufat
Il y avait des gens partout.,Llan medden deg yal amkan.,Llan medden yal amkan.
Il y avait des gens partout.,Llan yemdanen di yal amkan.,Llan medden di yal tama.
"C'est le mien, non ?","d ayla-w, anaɣ?","D win-inu, neɣ ala?"
"C'est la mienne, non ?","D ayla-w, anaɣ?","D tin-iw, neɣ ala?"
"C'est le mien, non ?","D ayla-w, neɣ xaṭi?","D win-inu, naɣ?"
"C'est la mienne, non ?","D ayla-w, neɣ xaṭi?","D tin-iw, naɣ?"
Je dois juste me reposer un peu.,Ad steɛfuɣ kan kra.,Ilaq kan ad steɛfuɣ cwiṭ.
Je dois juste me reposer un peu.,Ad sgunfuɣ kan kra.,Ilaq kan ad steɛfuɣ ciṭ.
Nous sommes partis tôt le matin.,Nṛuḥ zik tasebḥit-a.,Nruḥ zikk n ṣṣbeḥ.
Nous sommes partis tôt le matin.,Nṛuḥ ssbeḥ zik ass-a.,Nruḥ zikk n ṣṣbeḥ.
Il n'a même pas téléphoné pour mon anniversaire.,Ulama d asiwel ur yi-d-isawel ara deg wass n umuli-w.,Ur d-isiwel ara ula d i umulli-w.
"Non, je vais faire de la natation.","Xaṭi, ad xedmeɣ aɛummu.","Ala, ad mniɣ."
"Je veux aller à l'école en voiture, pas à pied.","Bɣiɣ ad ṛuḥeɣ ar uɣerbaz s tkeṛṛust, mačči ɣef uḍaṛ.","Bɣiɣ ad rruḥeɣ ɣer uɣerbaz s tkeṛṛust, mačči ɣef uḍar."
Y a-t-il des livres sur la table ?,Llan yidlisen ɣef tgida?,Llan yedlisen ɣef ṭṭabla?
Y a-t-il des livres sur la table ?,Llant tektabin ɣef ṭṭabla?,Llan yedlisen ɣef ṭṭabla?
Le voyage était génial.,Yelha yinig-nni.,Asikel yella d ameqqran.
Le voyage était génial.,Iɛedda akken iwata yinig-nni.,Asikel yella d ameqqran.
Le voyage était génial.,Igerrez mliḥ yinig-nni.,Asikel yella d ameqqran.
Il nous faut un nouveau chef.,Ilaq-aɣ uɣella amaynut.,Ilaq-aɣ uqerru amaynut.
Il nous faut un nouveau chef.,Ilaq-aɣ uɣella ajdid.,Ilaq-aɣ uqerru amaynut.
Il nous faut un nouveau chef.,Ilaq-aɣ uqeṛṛuy amaynut.,Ilaq-aɣ uqerru amaynut.
Ce sont des questions auxquelles je ne peux pas répondre.,D isteqsiyen i ɣef ur zmireɣ ad rreɣ.,D iseqsiyen iwumi ur zmireɣ ara ad rreɣ.
Ce sont des questions auxquelles je ne peux pas répondre.,D isteqsiyen i ɣef ur zmireɣ ara ad d-fkeɣ tiririt.,D iseqsiyen ur zmireɣ ara ad rreɣ fell-asen.
Devine combien ça m'a coûté.,Af-d acḥal i yi-d-ikker.,Gmer achḥal i yi-d-yewwi.
Devine combien ça m'a coûté.,Af-d acḥal i yi-d-tekker.,Gmer achḥal i yi-d-yewwi.
Devine combien ça m'a coûté.,Sefru-d acḥal i yi-d-isɣam.,Gmer ach-hal i yi-isqam.
Devine combien ça m'a coûté.,Sefru-d acḥal i yi-d-isker.,Gmer ach-hal i yi-isqam.
Plusieurs bougies brûlaient.,Ṛɣant aṭas n teqbucin.,Aṭas n tcemmuɛin i ireɣen.
Nous devons nous occuper de nos enfants.,Ilaq ad d-nelhu d warraw-nneɣ.,Ilaq a n-nelhu d warrac-nneɣ.
Nous devons nous occuper de nos enfants.,Ilaq ad d-nelhu d warrac-nneɣ.,Ilaq ad nelhu d warraw-nneɣ.
Je n'aime pas chanter en français.,Ur ḥemmleɣ ara ad cnuɣ s tefransist.,Ur ḥemmleɣ ara ad cnuɣ s tefransist.
J'ai soulevé la boite.,Refdeɣ tabewwaḍt-nni.,Refdeɣ tabwaṭ.
J'ai soulevé la boite.,Refdeɣ asenduq-nni.,Refdeɣ tabwaṭ.
J'ai soulevé la boite.,Refdeɣ afniq-nni.,Refdeɣ tabwaṭ.
Personne n'écoutait le discours.,Yiwen ur ittḥessis i yinaw.,Ula d yiwen ur d-issemḥis i wawal.
Personne n'écoutait le discours.,Yiwen ur issel i yinaw.,Yiwen ur d-issemḥis i yinaw.
Était-ce trop difficile ?,Ɛni yuɛeṛ mliḥ?,Yewɛer bezzaf?
Était-ce trop difficile ?,Yuɛeṛ mliḥ?,Yewɛer bezzaf?
Combien y avait-il de noms sur la liste ?,Acḥal n yismawen i yellan ɣef unnuɣ?,Achḥal n yismawen i yellan deg tebdart?
Est-il trop tard pour récupérer mon argent ?,Ɛni iɛedda lḥal i wakken ad d-rreɣ idrimen-iw?,Dayen iɛedda lweqt iwakken ad d-rreɣ idrimen-iw?
L'université Harvard a été fondée en 1636.,Tasdawit n Harvard tettwabna aseggas n 1636.,Tasdawit n Harvard tettwasbedd deg useggas n 1636.
L'université Harvard a été fondée en 1636.,Tasdawit n Harvard tettwabna deg useggas n 1636.,Tasdawit n Harvard tettwasbedd deg useggas n 1636.
C'est ce qu'ils m'ont dit.,D ayen i yi-d-nnan.,D ayen i yi-d-nnan.
C'est ce qu'ils m'ont dit.,D annect-nni i yi-d-nnan.,D ayen i yi-d-nnan.
C'est ce qu'elles m'ont dit.,D annect-nni i yi-d-nnant.,D ayen i yi-d-nnant.
C'est ce qu'elles m'ont dit.,D ayen i yi-d-nnant.,D ayen i yi-d-nnant.
Je suis trop jeune pour faire ça.,Meẓẓiyeɣ mliḥ i wakken ad xedmeɣ annect-a.,Meẓẓiyeɣ aṭas iwakken ad xedmeɣ aya.
Tu as fait ça quand ?,Melmi i txedmeḍ annect-a?,Melmi i txedmeḍ aya?
Quand avez-vous fait ceci ?,Melmi i txedmeḍ akka?,Melmi i txedmem aya?
Au revoir !,A tufat! Ar tikkelt-nniḍen!,Ar tufat
Je ne croyais pas que Tom irait à Boston.,Ur umineɣ ara belli Tom ad iṛuḥ ɣer Boston.,Ur ɣileɣ ara belli Tom ad iṛuḥ ɣer Boston.
Le ciel était bleu et le temps magnifique.,Igenni d azegazw yerna ilha lḥal.,Igenni yella d azegzaw u lḥal yelha nezzeh.
Vous avez laissé vos parapluies dans le bus.,Teǧǧam ssiwanat-nwen deg ufurgu.,Teǧǧam tisiwan-nwen deg ubiis.
Je me trouvai dans l'incapacité de me rendre à sa fête d'anniversaire.,Ur zmireɣ ara ad ṛuḥeɣ ar tmeɣṛa n umuli-s.,Ur zmireɣ ara ad d-ruḥeɣ ɣer tmeɣra n umulli-is.
Je pense qu'il est compétent.,Cukkeɣ yezweṛ.,Ttwaliɣ belli yezwer.
Je pense que c'est un homme capable.,Cukkeɣ d argaz i iẓewṛen.,Ttwaliɣ d argaz izemren.
La langue est liée à l'oralité.,Tutlayt teqqen ar timawit.,Tutlayt teqqen ɣer timawit.
Il m'a donné un conseil.,Inha-yi.,Yefka-yi-d yiwet n lweṣṣaya.
Il m'a donné un conseil.,Iweṣṣa-yi.,Yefka-yi-d yiwen n rray.
La langue sert à exprimer une perception du monde.,Tutlayt tella i wakken ad d-yini yiwen amek i yettwali ddunit.,Tutlayt d ttawil i usenfel n tmuɣli n umaḍal.
Vous avez demandé la voiture à votre père ?,Tsutreḍ-as takeṛṛust-nni i baba-k?,Tessutrem takerrust i baba-twen?
Son jardin est une œuvre d'art.,Tibḥirt-ines d leqdic n tẓuṛi.,Urtu-is d tawuri n tẓuri.
Il y a donc 10 km de bouchons.,Yeqfel webrid ɣef 10 n ikilumiṭṛen.,Ihi llan 10 n yikilumitren n uḥebbus.
"On apprend la grammaire à partir de la langue, pas la langue à partir de la grammaire.","Nettissin tajeṛṛumt seg tutlayt, mačči d tutlayt i nettissin seg tjeṛṛumt.","Nlemmed tajerrumt seg tutlayt, mačči tutlayt seg tjerrumt."
Pourquoi appelle-t-il rarement sa sœur ?,Acuɣeṛ i s-isawal i wettma-s tikwal kan?,Ayɣer i d-isiwil drus i weltma-s?
Je préférerais être un oiseau plutôt qu'un poisson.,Smenyifeɣ ad iliɣ d afṛux wala d islem.,Smenyafeɣ ad iliɣ d agḍid wala d aslem.
Je préférerais être un oiseau plutôt qu'un poisson.,Ad iliɣ axiṛ d afṛux wama ad iliɣ d islem.,Smenyafeɣ ad iliɣ d agḍid wala d aslem.
Taqbaylit appartient à la famille des langues berbères.,Tutlayt taqbaylit tettekki ar twacult n tutlayin timaziɣin.,Taqbaylit ttekki deg twacult n tutlayin timaziɣin.
Taqbaylit appartient à la famille des langues berbères.,Taqbaylit tettekki ar twacult n tutlayin timaziɣin.,Taqbaylit ttekki deg twacult n tutlayin timaziɣin.
Il y a environ 10 millions de Kabyles dans le monde.,Llan azal n 10 imelyan d aqbayli di ddunit.,Llan azal n mraw n yelyunen n Yiqbayliyen deg umaḍal.
Le train est arrivé en retard à cause de la neige.,Ur d-tewwiḍ ara deg lawan tmacint axaṭer yella wedfel.,Tamashint tewweḍ-d s uɛeṭṭel ɣef lǧal n udfel.
Il lui a écrit un message.,Yura-yas izen.,Yura-as tabrat.
Nous ne l'avons pas encore trouvé.,Urεad ur t-id-nufi.,Mazal ur t-nufi ara.
Nous ne l'avons encore trouvée.,Ur tt-id-nufi ara εad.,Werɛad i tt-nufa.
Elle l'appela au téléphone.,Tessawel-as deg tilifun.,Tessawel-as di ttilifun.
Elle l'appela au téléphone.,Tessawel-as s tilifun.,Tessawel-as di ttilifun.
Quelle est ta nourriture préférée ?,Aniwa učči i tḥemmleḍ?,D acu i d učči i tḥemmleḍ ugar?
Quelle est ta nourriture préférée ?,Anita tiremt i tḥemmleḍ?,D acu i d učči i tḥemmleḍ ugar?
Qu'est-ce que tu lui as dit ?,D acu i as-tenniḍ?,D acu i s-tenniḍ?
À qui écrivez-vous ? À votre patron ?,I wumi i tettaruḍ? I wumɛalem-ik?,I wumi tettarum? I umasay-nwen?
Elles n'ont pas raté leur train.,Nutenti ur zgilent ara tamacint.,Ur zglent ara lmacina-nsent.
Ils n'ont pas raté leur train.,Nutni ur zgilen ara tamacint.,Ur zgelen ara tamacint-nsen.
Elle allait faire de l'escalade avec lui.,Tṛuḥ ad tali ar wedrar yid-s.,Tella ad tali iẓra yid-es.
C'est juste ainsi que les choses fonctionnent.,Akka kan i leḥḥunt temsal.,Akkagi kan i tteddun temsal.
Ils ne vous enseignent pas ça à l'école.,Ur ak-selmaden ara annect-a deg uɣerbaz.,Ur awen-sselmaden ara ayagi deg uɣerbaz.
Ils ne vous enseignent pas ça à l'école.,Ur wen-selmaden ara annect-a deg uɣerbaz.,Ur awen-sselmaden ara aya deg uɣerbaz.
Ils ne vous enseignent pas ça à l'école.,Ur ak-sɣaṛayen ara annect-a deg uɣerbaz.,Ur awen-sselmaden ara aya deg uɣerbaz.
Ils ne vous enseignent pas ça à l'école.,Ur tettafeḍ ara annect-a deg uɣerbaz.,Ur awen-sselmaden ara aya deg uɣerbaz.
C'est simple.,Ishel.,Ishel.
C'est simple.,D ayen isehlen.,Ishel.
Il viendra certainement à l'heure.,Iban ad d-yaweḍ deg lawan ilaqen.,Ad d-yas s tideț di lweqt.
Il est trop tard pour s'excuser maintenant.,Iɛedda tura lawan i wakken ad tsutreḍ ssmaḥ.,Yezri lweqt i ssmaḥ tura.
Il est trop tard pour s'excuser maintenant.,Tura iɛedda lawan i wakken ad tsutreḍ ssmaḥ.,Yezri lweqt i ssmaḥ tura.
Savais-tu qu'en mélangeant du rouge et du bleu on obtient du violet ?,Tɛelmeḍ belli ma nessexleḍ azeggaɣ akked uzegzaw ad d-yeffeɣ uṛeẓẓaẓ?,Teẓriḍ belli ma tsexleḍ azeggaɣ d unili ad d-yeffeɣ umidadi?
Savais-tu qu'en mélangeant du rouge et du bleu on obtient du violet ?,Teẓṛiḍ belli ma nessexleḍ azeggad d uzegzaw ad d-yeffeɣ ujenǧaṛi?,Teẓriḍ belli ma txelṭeḍ azeggaɣ d unili ad d-yeffeɣ umidadi?
"Si tu t'es brûlé, tu devrais refroidir la brûlure sous l'eau.","Ma yella teṛɣiḍ-d, ilaq ad tessisemḍeḍ tiṛɣi-nni s waman.","Ma teryeḍ, ilaq a tessemmreḍ tiraɣi seddaw waman."
Je comprends. Merci beaucoup.,Fehmeɣ-d. Tanemmirt s waṭas.,Gziɣ. Tanemmirt aṭas.
Je comprends. Merci beaucoup.,Fehmeɣ. Tanemmirt aṭas aṭas.,Gziɣ. Tanemmirt aṭas.
Elles ne font pas la sieste.,Ur ttqeyyilent ara.,Ur qayylent ara.
Elles ne font pas la sieste.,Ur ṭṭalaqent ara.,Ur xeddment ara aqayel.
Elles ne font pas la sieste.,Ur tteḍlaqent ara.,Ur xeddment ara aqayel.
Je ferai une sieste.,Ad qeyyleɣ.,Ad qeyyleɣ.
Je ferai une sieste.,Ad ḍelqeɣ.,Ad qeyyleɣ.
Je sais que je suis désormais dans le pétrin.,Ẓṛiɣ belli aql-i zdaxel n tnexxaṛt.,Zriɣ belli tura lliɣ deg ubaliz.
Je sais que je suis désormais dans le pétrin.,Ẓṛiɣ belli aql-iyi zdaxel n tesraft.,Zriɣ belli tura lliɣ deg ubaliz.
Je sais que je suis désormais dans le pétrin.,Ẓṛiɣ belli aql-iyi weḥleɣ.,Zriɣ belli tura lliɣ deg ubaliz.
Je sais que je suis désormais dans le pétrin.,Ẓṛiɣ belli aql-iyi ḥeṣleɣ.,Zriɣ belli tura lliɣ deg ubaliz.
"Eh, attends ! Mais où veux-tu donc aller ?","Eh, rju ! Anda i tebɣiḍ akka ad truḥeḍ ?",A rju! Maca sanda i tebɣid ad tṛuḥed ihi?
Jamais personne ne m'a parlé ainsi !,Deg leɛmeṛt ma ihḍeṛ-iyi-d yiwen akka !,Werǧin yiwen i yi-d-imeslayen akkagi!
Tom n'aime pas les escargots.,Tom ur yettḥibbi ara ibelɛiraṣ.,Tom ur iḥemmel ara iɛrusen.
Tom a une sœur aînée qui s'appelle Mary.,Tom yesɛa weltmas tameqqṛant mi qqaren Mary.,Tom yesɛa weltma-s tameqqrant issem-is Mary.
Installe Linux !,Ssebded Linux !,Instali Linux !
Je pense que ça colle.,Cukkeɣ igerrez.,Qqareɣ-as yelṣeq.
Je pense que ça colle.,Cukkeɣ tgerrez.,Nwiɣ yelṣeq.
Je pense que ça colle.,Yettban-iyi-d yelha.,Qqareɣ-as yelṣeq.
Je pense que ça colle.,Ttwaliɣ yelha.,Qqareɣ-as yelṣeq.
J'aime la cuisine kabyle.,Ḥemmleɣ učči n Leqbayel.,Ḥemmleɣ učči aqbayli.
Quand devrais-je donner à manger au chien ?,Melmi isefk ad muddeɣ i weqjun ad yečč?,Melmi i ilaq ad fkeɣ učči i uydi?
Tom fabrique son propre pain.,Tom ixeddem-d aɣṛum-is s yiman-is.,Tom ixeddem agrum-is s yiman-is.
Les parents de mes parents sont mes grands-parents.,Imawlan n imawlan-iw d ijedditen-iw.,Imawlan n yimawlan-iw d lejdud-iw.
Tom dit qu'il prévoit d'acheter un cadeau pour Mary.,Yenna-d Tom belli yebɣa ad s-d-yaɣ tarzeft i Mary.,Tom yenna-d belli iqsed ad d-yaɣ lhedya i Mary.
Aucun d'entre eux n'était là.,Yiwen deg-sen ur yelli dina.,Ula d yiwen deg-sen ur yelli din.
Aucun d'entre eux n'était là.,Yiwet deg-sent ur telli dina.,Ula d yiwen deg-sen ur yelli din.
Aucun d'entre eux n'était là.,Ulac deg-sen win i yellan dina.,Ula d yiwen deg-sen ur yelli din.
Aucun d'entre eux n'était là.,Ulac deg-sent tin i yellan dina.,Ula d yiwen deg-sen ur yelli din.
Pourquoi n'allez-vous pas de l'avant ?,Acuɣeṛ ur tettaẓeḍ ara ar zdat?,Ayɣer ur tteddum ara ɣer zdat?
Pourquoi n'allez-vous pas de l'avant ?,Acuɣeṛ ur tettṛuḥuḍ ara ar zdat?,Ayɣer ur tetteddum ara ɣer zdat?
Qui était celui à qui tu parlais ?,Anwa-t win akken i m-d-iheddṛen?,Anwa winna i wumi tmeslayeḍ?
Qui était celui à qui tu parlais ?,Anwa-t win akken i ak-d-iheddṛen?,Anwa winna iwumi tmeslayeḍ?
Qui était celui à qui tu parlais ?,Anta-tt tin akken i m-d-iheddṛen?,Anwa winna iwumi tmeslayeḍ?
Qui était celui à qui tu parlais ?,Anta-tt tin akken i ak-d-iheddṛen?,Anwa winna i wumi tmeslayeḍ?
Qui était celui à qui tu parlais ?,Wi t-ilan win akken i ak-d-iheddṛen?,Anwa winna iwumi tmeslayeḍ?
Qui était celui à qui tu parlais ?,Wi t-ilan win akken i m-d-iheddṛen?,Anwa winna i wumi tmeslayeḍ?
Qui était celle à qui tu parlais ?,Anwa-t win akken i m-d-iheddṛen?,Anta tinna iwumi tmeslayeḍ?
Qui était celle à qui tu parlais ?,Anwa-t win akken i ak-d-iheddṛen?,Anta tin i wumi tessawaleḍ?
Qui était celui à qui vous parliez ?,Anwa-t win akken i wen-d-iheddṛen?,Anwa win i wumi tellam tessawalem?
Qui était celle à qui vous parliez ?,Anta-tt tin akken i wen-d-iheddṛen?,Anta tin i wumi tettmeslayem?
Qui était celle à qui vous parliez ?,Wi tt-ilan tin akken i wen-d-iheddṛen?,Anta tin i wumi tettmeslayem?
Je veux que vous cessiez de me suivre.,Bɣiɣ ad tḥebseḍ ur yi-d-teṭṭfaṛeḍ ara.,Bɣiɣ ad teḥbsem uḍfar-iw.
Je veux que vous cessiez de me suivre.,Bɣiɣ ad tḥebsem ur yi-d-teṭṭafaṛem ara.,Bɣiɣ ad teḥbsem uḍfar-iw.
Voulez-vous faire partie de mon équipe?,Tebɣiḍ ad tettekkiḍ d terbaɛt-iw?,Tebɣam ad t-tekkim deg terbaɛt-iw?
Voulez-vous faire partie de mon équipe?,Tebɣam ad tettekkim d terbaɛt-iw?,Tebɣam ad ttekkim deg terbaɛt-iw?
Voulez-vous faire partie de mon équipe?,Tebɣam ad tettekkim d wegraw-iw?,Tebɣam ad ttekkim deg terbaɛt-iw?
Voulez-vous faire partie de mon équipe?,Tebɣiḍ ad tettekkiḍ d wegraw-iw?,Tebɣam ad ttekkim deg terbaɛt-iw?
Vous voulez mon téléphone?,Tebɣiḍ uṭṭun n tilifun-inu?,Tebɣam asawal-iw?
Vous voulez mon téléphone?,Tebɣam uṭṭun n tilifun-inu?,Tebɣam asawal-iw?
Que voulez-vous que je vous dise ?,D acu i tebɣiḍ ad ak-d-iniɣ?,D acu tebɣam ad awen-iniɣ?
Que voulez-vous que je vous dise ?,D acu i tebɣam ad wen-d-iniɣ?,D acu tebɣam ad awen-iniɣ ?
Laisse-moi t'expliquer comment ça fonctionne.,Eǧǧ-iyi ad ak-d-sfehmeɣ amek i iteddu.,Eǧǧ-iyi ad ak-sfehmeɣ amek i tteddu.
Laisse-moi t'expliquer comment ça fonctionne.,Eǧǧ-iyi ad ak-d-sfehmeɣ amek i ileḥḥu.,Eǧǧ-iyi ad ak-d-ssefhem-eɣ amek i d-iteddu.
Laisse-moi t'expliquer comment ça fonctionne.,Aṛju ad ak-d-sekneɣ amek i ileḥḥu.,Eǧǧ-iyi ad ak-d-ssefhem-eɣ amek i d-iteddu.
Laisse-moi t'expliquer comment ça fonctionne.,Aṛju ad ak-werriɣ amek i iteddu.,Eǧǧ-iyi ad ak-sfehmeɣ amek i tteddu.
Laisse-moi t'expliquer comment ça fonctionne.,Eǧǧ-iyi ad am-d-sfehmeɣ amek i iteddu.,Eǧǧ-iyi ad ak-sfehmeɣ amek i tteddu.
Je me souviens de ma mère m'enseignant l'alphabet.,Cfiɣ asmi i yi-tesɣaṛay yemma agemmay.,Ccfiɣ ɣef yemma mi yi-tesselmad agammay.
Il vécut là toute sa vie.,Dina i iɛac akk tudert-is.,Yedder dinna akk tameddurt-is.
Il vécut là toute sa vie.,Dina i iɛac meṛṛa tudert-is.,Yedder dinna akk tameddurt-is.
Ça coûte trop cher.,Ɣlayet.,Ɣlay aṭas.
Ça coûte un pont.,Teskaray-d ɣlayet.,Teswa lmal.
Ça coûte un pont.,Tesɣamay-d ɣlayet.,Teswa rrebeḥ.
Ça coûte un pont.,Teskaray-d tafunast d yelli-s.,Teswa lmal.
Ça coûte un pont.,Tesɣamay-d tafunast d yelli-s.,Teswa rrebeḥ.
Tu as réussi !,Tewwiḍ-t-id!,Trebḥeḍ!
Tu as réussi !,Trebḥeḍ!,Trebḥeḍ!
Vous avez réussi !,Tewwim-t-id!,Trebḥem!
Vous avez réussi !,Trebḥem!,Trebḥem!
Je ne suis en aucun cas en colère après toi.,Ur fqiɛeɣ ara akk fell-ak.,Ur rfiɣ ara fell-ak maḍi.
Je ne suis en aucun cas en colère après toi.,Ur fqiɛeɣ ara akk fell-am.,Ur rfiɣ ara fell-ak maḍi.
Je ne suis en aucun cas en colère après toi.,Ur rfiɣ ara akk fell-ak.,Ur rfiɣ ara fell-ak maḍi.
Je ne suis en aucun cas en colère après toi.,Ur rfiɣ ara akk fell-am.,Ur rfiɣ ara fell-ak maḍi.
Je ne suis en aucun cas en colère après toi.,Ur fqiɛeɣ ara akk fell-awen.,Ur rfiɣ ara fell-ak maḍi.
Je ne suis en aucun cas en colère après toi.,Ur fqiɛeɣ ara akk fell-akent.,Ur rfiɣ ara fell-ak maḍi.
"La brebis dit : « même si je broute, je surveille. »","Teqqaṛ-as tixsi: ulamma kesseɣ, ţzillimeɣ.","Tenna tixsi: xas kessreɣ, ttɛassaɣ."
Je te déteste.,Keṛheɣ-k.,Kerheɣ-k.
Je te déteste.,Keṛheɣ-kem.,Kerheɣ-k.
Je te déteste.,Ɣucceɣ-k.,Kerheɣ-k.
Je te déteste.,Ɣucceɣ-kem.,Kerheɣ-k.
Nous nous sommes perdus en forêt.,Neɛṛeq deg teẓgi.,Negla deg teẓgi.
J'ai pris du poids.,Ṭṭuqteɣ.,Rniɣ deg lqedd.
J'ai pris du poids.,Ṣeḥḥaɣ.,Rniɣ deg lqedd.
J'ai pris du poids.,Rniɣ di lmizan.,Rniɣ deg lqedd.
Rien ne vient de rien.,Ulac i d-yettasen s wulac.,Ulac ay d-yettasen seg wulac.
Rien ne peut venir de rien.,Ulac i izemren ad d-yas s wulac.,Seg wulac ur d-itteffey wulac.
Je le connais plutôt bien.,Sneɣ-t akken iwata.,Ssneɣ-t mliḥ.
Où va-t-on manger ce soir ?,Anda ad nečč tameddit-a?,Anda ara nečč tameddit-agi?
Conduisez prudemment ou vous allez vous attirer des ennuis.,Ssenhaṛ kan s ţawil amer ad tesεuḍ uguren.,Suqet s uḥader neɣ ad d-tawim iɣeblan.
George avait le cœur brisé.,George yejreḥ wul-is.,George yerẓa wul-is.
George avait le cœur brisé.,George tejreḥ tasa-s.,George yerẓa wul-is.
Ne blessez jamais les sentiments de quelqu'un.,Γur-k ass deg ara tqeṛḥeḍ iḥulfan n wayeḍ.,Ur jerreḥet ara iḥulfan n yiwen.
Tu te tiens sur mon pied !,Aql-ik tebeddeḍ af uḍaṛ-iw!,Tbedded-iyi ɣef uḍar!
C'est quoi tout ce raffut ?,D acu-t uhetwir-a?,D acu i d lḥess-agi meṛṛa?
Les poules font-elles pipi ?,Ţbeccicent tyuẓaḍ?,Tiyaziwin ttizmit?
Je me suis couché.,Ṭṭṣeɣ.,Gneɣ.
Je me suis couché.,Gneɣ.,Gnig.
Est-ce que cela signifie quelque chose pour vous ?,Yella d acu tegziḍ deg tmsalt-a?,Ayagi yesɛa anamek ɣur-wen?
Que faisons-nous maintenant ?,D acu ar ad neg tura?,D acu ara nexdem tura?
Que faisons-nous maintenant ?,D acu la neţţeg tura?,D acu ara nexdem tura?
Mario parle l'anglais couramment.,Mario yeţmeslay Tanglizit am waman.,Mario isawal tanglizit mliḥ.
Il est trop vieux pour vous.,Bezzef i iwesser fell-am.,Yewser bezzaf fell-awen.
Il est trop vieux pour vous.,Ddeqs i iwesser fell-am.,Yewser bezzaf fell-awen.
Je l'ai empruntée.,Reḍleɣ-ţ-id.,Reḍleɣ-tt.
J'ai une autre idée.,Γuṛ-i tikti-nniḍen.,Sɛiɣ takti nniḍen.
Tom est souvent à la maison.,Tom yezga deg wexxam.,Tom yettili daymen deg wexxam.
Attendons que la pluie s'apaise.,Aha ad neṛju ad yifsus ugeffur-a.,Ad neṛju alamma ters lehwa.
La vie est courte.,Tudert wezzilet.,Tudert d tawezzlant.
Depuis tout-à-l'heure je vous entends parler de la politique.,Seg zgelli selleɣ-awen-d tettmeslayem ɣef tsertit.,Seg yimir-nni i wen-sellɣ tmeslayem ɣef tsertit.
Appelez à nouveau.,Siwlem-d tikkelt-nniḍen.,Siwlet-d tikkelt nniḍen.
Appelez à nouveau.,Siwlemt-d tikkelt-nniḍen.,Siwelt-d daɣen.
"As-tu bien dormi cette nuit, Steeve ?",Teṭṭṣeḍ iḍ-a akken yelha a Steeve?,"Teṭṭseḍ mliḥ iḍ-agi, a Steeve?"
